Key,Value
../checkpoints_100/G_N_100_n_96000_seed_3_d_25,0.0005741618
../checkpoints_100/G_N_100_n_800_seed_1_d_75,0.010420033
../checkpoints_100/G_N_100_n_800_seed_2_d_75,0.012691408
../checkpoints_100/G_N_100_n_800_seed_3_d_75,0.030703709
../checkpoints_100/G_N_100_n_2000_seed_1_d_75,0.0025944465
../checkpoints_100/G_N_100_n_2000_seed_2_d_75,0.006543749
../checkpoints_100/G_N_100_n_2000_seed_3_d_75,0.0045496905
../checkpoints_100/G_N_100_n_4000_seed_1_d_75,0.0016927948
../checkpoints_100/G_N_100_n_4000_seed_2_d_75,0.0025071786
../checkpoints_100/G_N_100_n_4000_seed_3_d_75,0.0020094381
../checkpoints_100/G_N_100_n_8000_seed_1_d_75,0.0011801732
../checkpoints_100/G_N_100_n_8000_seed_2_d_75,0.0011727317
../checkpoints_100/G_N_100_n_8000_seed_3_d_75,0.0008711522
../checkpoints_100/G_N_100_n_16000_seed_1_d_75,0.0008788402
../checkpoints_100/G_N_100_n_16000_seed_2_d_75,0.00080846937
../checkpoints_100/G_N_100_n_16000_seed_3_d_75,0.00075026846
../checkpoints_100/G_N_100_n_32000_seed_1_d_75,0.00078825635
../checkpoints_100/G_N_100_n_32000_seed_2_d_75,0.00066436676
../checkpoints_100/G_N_100_n_32000_seed_3_d_75,0.000601282
